TicketID,ProductID,IssueText
TCKT134,P1043,Fake product returned for refund.
TCKT135,P1094,Customer reported overheating after 2 days.
TCKT136,P1064,Broken item in box.
TCKT137,P1099,Customer reported overheating after 2 days.
TCKT138,P1097,Broken item in box.
TCKT139,P1099,Fake product returned for refund.
TCKT140,P1017,Fake product returned for refund.
TCKT141,P1010,Received wrong product in packaging.
TCKT142,P1013,Warranty not honored.
TCKT143,P1038,Fake product returned for refund.
TCKT144,P1054,Fake product returned for refund.
TCKT145,P1033,Customer reported overheating after 2 days.
TCKT146,P1080,Warranty not honored.
TCKT147,P1080,Broken item in box.
TCKT148,P1062,Warranty not honored.
TCKT149,P1034,Received wrong product in packaging.
TCKT150,P1044,Received wrong product in packaging.
TCKT151,P1056,Customer reported overheating after 2 days.
TCKT152,P1058,Broken item in box.
TCKT153,P1049,Warranty not honored.
TCKT154,P1041,Warranty not honored.
TCKT155,P1059,Broken item in box.
TCKT156,P1048,Fake product returned for refund.
TCKT157,P1032,Received wrong product in packaging.
TCKT158,P1069,Customer reported overheating after 2 days.
TCKT159,P1088,Fake product returned for refund.
TCKT160,P1044,Broken item in box.
TCKT161,P1037,Customer reported overheating after 2 days.
TCKT162,P1004,Received wrong product in packaging.
TCKT163,P1098,Fake product returned for refund.
TCKT164,P1098,Fake product returned for refund.
TCKT165,P1094,Warranty not honored.
TCKT166,P1088,Customer reported overheating after 2 days.
TCKT167,P1030,Warranty not honored.
TCKT168,P1015,Broken item in box.
TCKT169,P1031,Fake product returned for refund.
TCKT170,P1052,Broken item in box.
TCKT171,P1020,Broken item in box.
TCKT172,P1061,Broken item in box.
TCKT173,P1073,Customer reported overheating after 2 days.
TCKT174,P1047,Warranty not honored.
TCKT175,P1081,Warranty not honored.
TCKT176,P1001,Received wrong product in packaging.
TCKT177,P1008,Received wrong product in packaging.
TCKT178,P1007,Received wrong product in packaging.
TCKT179,P1060,Customer reported overheating after 2 days.
TCKT180,P1090,Fake product returned for refund.
TCKT181,P1013,Broken item in box.
TCKT182,P1041,Fake product returned for refund.
TCKT183,P1015,Customer reported overheating after 2 days.
TCKT184,P1044,Customer reported overheating after 2 days.
TCKT185,P1029,Received wrong product in packaging.
TCKT186,P1005,Customer reported overheating after 2 days.
TCKT187,P1073,Warranty not honored.
TCKT188,P1078,Customer reported overheating after 2 days.
TCKT189,P1021,Customer reported overheating after 2 days.
TCKT190,P1064,Broken item in box.
TCKT191,P1000,Fake product returned for refund.
TCKT192,P1054,Customer reported overheating after 2 days.
TCKT193,P1095,Customer reported overheating after 2 days.
TCKT194,P1089,Fake product returned for refund.
TCKT195,P1093,Received wrong product in packaging.
TCKT196,P1076,Fake product returned for refund.
TCKT197,P1024,Received wrong product in packaging.
TCKT198,P1078,Customer reported overheating after 2 days.
TCKT199,P1093,Fake product returned for refund.
TCKT200,P1011,Customer reported overheating after 2 days.
