ProductID,Language,ReviewText
P1045,fr,This product gets very hot when charging.
P1032,zh,Excellent build quality!
P1007,fr,Battery swells after 6 months.
P1010,fr,Excellent build quality!
P1017,zh,Excellent build quality!
P1037,zh,Battery swells after 6 months.
P1035,en,Excellent build quality!
P1092,zh,Excellent build quality!
P1065,zh,Too noisy and unreliable.
P1037,es,Excellent build quality!
P1069,zh,Seems like a knock-off product.
P1097,zh,Too noisy and unreliable.
P1013,fr,Excellent build quality!
P1060,es,Excellent build quality!
P1048,zh,Excellent build quality!
P1076,es,Seems like a knock-off product.
P1062,zh,Excellent build quality!
P1055,es,Too noisy and unreliable.
P1084,fr,Too noisy and unreliable.
P1058,zh,Battery swells after 6 months.
P1069,zh,This product gets very hot when charging.
P1044,fr,Excellent build quality!
P1058,es,Too noisy and unreliable.
P1072,en,This product gets very hot when charging.
P1014,fr,This product gets very hot when charging.
P1032,fr,Seems like a knock-off product.
P1050,es,Too noisy and unreliable.
P1012,fr,Seems like a knock-off product.
P1094,zh,Seems like a knock-off product.
P1089,en,This product gets very hot when charging.
P1019,zh,Excellent build quality!
P1071,es,Excellent build quality!
P1075,zh,Too noisy and unreliable.
P1040,es,This product gets very hot when charging.
P1081,es,Seems like a knock-off product.
P1046,fr,Too noisy and unreliable.
P1054,zh,This product gets very hot when charging.
P1082,zh,This product gets very hot when charging.
P1060,zh,Seems like a knock-off product.
P1099,en,Excellent build quality!
P1031,es,Too noisy and unreliable.
P1030,fr,This product gets very hot when charging.
P1066,fr,This product gets very hot when charging.
P1035,es,Excellent build quality!
P1008,fr,This product gets very hot when charging.
P1010,es,Battery swells after 6 months.
P1089,en,Excellent build quality!
P1016,en,Seems like a knock-off product.
P1005,en,Seems like a knock-off product.
P1067,es,Too noisy and unreliable.
P1020,en,Seems like a knock-off product.
P1024,zh,Battery swells after 6 months.
P1088,fr,Battery swells after 6 months.
P1084,fr,Seems like a knock-off product.
P1088,fr,This product gets very hot when charging.
P1059,en,Excellent build quality!
P1070,fr,Seems like a knock-off product.
P1048,en,Battery swells after 6 months.
P1039,fr,This product gets very hot when charging.
P1072,en,Excellent build quality!
P1023,es,Battery swells after 6 months.
P1072,es,Too noisy and unreliable.
P1087,fr,This product gets very hot when charging.
P1023,zh,This product gets very hot when charging.
P1062,fr,Battery swells after 6 months.
P1034,en,Too noisy and unreliable.
P1098,fr,Seems like a knock-off product.
P1093,fr,Too noisy and unreliable.
P1022,zh,Seems like a knock-off product.
P1045,en,Excellent build quality!
P1026,fr,Battery swells after 6 months.
P1015,en,Seems like a knock-off product.
P1021,zh,Excellent build quality!
P1060,fr,Seems like a knock-off product.
P1014,fr,Too noisy and unreliable.
P1038,en,Battery swells after 6 months.
P1017,zh,Battery swells after 6 months.
P1085,zh,Too noisy and unreliable.
P1079,en,Seems like a knock-off product.
P1066,zh,Excellent build quality!
P1063,zh,Seems like a knock-off product.
P1048,fr,This product gets very hot when charging.
P1069,en,This product gets very hot when charging.
P1052,es,Too noisy and unreliable.
P1008,en,This product gets very hot when charging.
P1050,fr,Battery swells after 6 months.
P1098,zh,Seems like a knock-off product.
P1046,en,Seems like a knock-off product.
P1023,en,This product gets very hot when charging.
P1054,en,This product gets very hot when charging.
P1000,en,Battery swells after 6 months.
P1094,en,Battery swells after 6 months.
P1032,zh,Battery swells after 6 months.
P1085,es,Excellent build quality!
P1083,es,Seems like a knock-off product.
P1058,es,This product gets very hot when charging.
P1084,en,This product gets very hot when charging.
P1025,fr,Seems like a knock-off product.
P1076,en,Battery swells after 6 months.
P1035,fr,Battery swells after 6 months.
P1095,fr,Too noisy and unreliable.
P1092,es,Battery swells after 6 months.
P1025,en,Seems like a knock-off product.
P1086,fr,Excellent build quality!
P1067,es,Too noisy and unreliable.
P1073,en,Excellent build quality!
P1020,zh,Too noisy and unreliable.
P1043,en,This product gets very hot when charging.
P1077,es,Seems like a knock-off product.
P1049,es,Seems like a knock-off product.
P1003,fr,Battery swells after 6 months.
P1090,fr,Seems like a knock-off product.
P1046,zh,Too noisy and unreliable.
P1055,fr,This product gets very hot when charging.
P1061,zh,This product gets very hot when charging.
P1022,fr,This product gets very hot when charging.
P1066,fr,Excellent build quality!
P1057,fr,This product gets very hot when charging.
P1082,es,Seems like a knock-off product.
P1056,en,Too noisy and unreliable.
P1096,zh,Too noisy and unreliable.
P1003,en,This product gets very hot when charging.
P1013,es,Too noisy and unreliable.
P1075,fr,Too noisy and unreliable.
P1052,zh,Too noisy and unreliable.
P1002,en,Excellent build quality!
P1010,zh,Too noisy and unreliable.
P1042,zh,Excellent build quality!
P1023,es,Seems like a knock-off product.
P1072,zh,Excellent build quality!
P1093,zh,Too noisy and unreliable.
P1055,zh,This product gets very hot when charging.
P1036,en,Battery swells after 6 months.
P1042,es,This product gets very hot when charging.
P1022,en,Seems like a knock-off product.
P1091,es,Seems like a knock-off product.
P1089,fr,Battery swells after 6 months.
P1002,zh,Excellent build quality!
P1020,es,Excellent build quality!
P1086,en,This product gets very hot when charging.
P1097,es,Battery swells after 6 months.
P1029,es,This product gets very hot when charging.
P1045,es,Excellent build quality!
P1076,fr,Battery swells after 6 months.
P1016,fr,Too noisy and unreliable.
P1071,zh,Excellent build quality!
P1057,en,Battery swells after 6 months.
P1057,en,This product gets very hot when charging.
P1068,en,This product gets very hot when charging.
P1003,es,Seems like a knock-off product.
P1033,fr,Seems like a knock-off product.
P1075,zh,This product gets very hot when charging.
P1023,en,Excellent build quality!
P1048,es,This product gets very hot when charging.
P1020,zh,Battery swells after 6 months.
P1087,en,Too noisy and unreliable.
P1066,zh,Too noisy and unreliable.
P1030,fr,Seems like a knock-off product.
P1077,zh,Battery swells after 6 months.
P1042,en,Excellent build quality!
P1039,fr,Seems like a knock-off product.
P1094,en,This product gets very hot when charging.
P1040,fr,Too noisy and unreliable.
P1007,zh,Excellent build quality!
P1094,zh,Too noisy and unreliable.
P1048,zh,This product gets very hot when charging.
P1097,zh,Battery swells after 6 months.
P1064,en,Excellent build quality!
P1085,fr,Battery swells after 6 months.
P1066,es,Seems like a knock-off product.
P1077,es,Excellent build quality!
P1026,en,Battery swells after 6 months.
P1080,en,Excellent build quality!
P1071,zh,Battery swells after 6 months.
P1017,en,This product gets very hot when charging.
P1089,en,This product gets very hot when charging.
P1032,en,This product gets very hot when charging.
P1035,zh,Seems like a knock-off product.
P1019,zh,Excellent build quality!
P1040,fr,This product gets very hot when charging.
P1032,en,Excellent build quality!
P1026,es,This product gets very hot when charging.
P1051,zh,Seems like a knock-off product.
P1063,zh,This product gets very hot when charging.
P1064,en,This product gets very hot when charging.
P1085,zh,Too noisy and unreliable.
P1079,fr,This product gets very hot when charging.
P1006,fr,Battery swells after 6 months.
P1005,en,Battery swells after 6 months.
P1096,en,Excellent build quality!
P1017,zh,Battery swells after 6 months.
P1012,fr,Battery swells after 6 months.
P1021,es,Too noisy and unreliable.
P1004,fr,Battery swells after 6 months.
P1070,en,Battery swells after 6 months.
P1090,en,Too noisy and unreliable.
P1021,fr,Battery swells after 6 months.
P1047,fr,Battery swells after 6 months.
P1012,fr,Too noisy and unreliable.
P1061,en,Seems like a knock-off product.
P1052,en,Excellent build quality!
P1017,en,Seems like a knock-off product.
P1008,en,Too noisy and unreliable.
P1066,zh,Seems like a knock-off product.
P1004,en,Too noisy and unreliable.
P1046,en,This product gets very hot when charging.
P1005,es,Battery swells after 6 months.
P1072,zh,Excellent build quality!
P1000,zh,This product gets very hot when charging.
P1012,es,Seems like a knock-off product.
P1063,es,This product gets very hot when charging.
P1069,en,This product gets very hot when charging.
P1086,zh,This product gets very hot when charging.
P1093,es,This product gets very hot when charging.
P1034,fr,Too noisy and unreliable.
P1050,en,Battery swells after 6 months.
P1085,en,This product gets very hot when charging.
P1043,zh,Seems like a knock-off product.
P1011,es,Too noisy and unreliable.
P1028,fr,Excellent build quality!
P1037,zh,Too noisy and unreliable.
P1091,zh,Battery swells after 6 months.
P1088,zh,This product gets very hot when charging.
P1040,fr,Excellent build quality!
P1052,fr,Seems like a knock-off product.
P1004,en,Too noisy and unreliable.
P1091,fr,Excellent build quality!
P1034,fr,Battery swells after 6 months.
P1024,en,Excellent build quality!
P1078,en,Too noisy and unreliable.
P1069,en,Battery swells after 6 months.
P1053,es,Seems like a knock-off product.
P1040,zh,Excellent build quality!
P1097,en,Excellent build quality!
P1068,en,Too noisy and unreliable.
P1022,zh,Battery swells after 6 months.
P1078,en,Excellent build quality!
P1085,zh,This product gets very hot when charging.
P1041,fr,Battery swells after 6 months.
P1045,es,Seems like a knock-off product.
P1015,es,This product gets very hot when charging.
P1043,es,Seems like a knock-off product.
P1074,zh,Battery swells after 6 months.
P1073,zh,Excellent build quality!
P1017,fr,This product gets very hot when charging.
P1090,zh,Too noisy and unreliable.
P1038,es,Battery swells after 6 months.
P1040,zh,Seems like a knock-off product.
P1071,es,Too noisy and unreliable.
P1052,fr,Seems like a knock-off product.
P1079,en,This product gets very hot when charging.
P1090,en,Battery swells after 6 months.
P1039,en,Battery swells after 6 months.
P1012,zh,Seems like a knock-off product.
P1000,zh,Seems like a knock-off product.
P1079,fr,Battery swells after 6 months.
P1032,en,Battery swells after 6 months.
P1088,zh,This product gets very hot when charging.
P1044,es,Too noisy and unreliable.
P1091,zh,This product gets very hot when charging.
P1055,fr,Seems like a knock-off product.
P1022,fr,This product gets very hot when charging.
P1011,zh,Seems like a knock-off product.
P1029,fr,Too noisy and unreliable.
P1090,fr,Seems like a knock-off product.
P1020,es,Too noisy and unreliable.
P1066,zh,Excellent build quality!
P1049,zh,Seems like a knock-off product.
P1026,en,This product gets very hot when charging.
P1046,zh,Battery swells after 6 months.
P1012,fr,This product gets very hot when charging.
P1031,en,Battery swells after 6 months.
P1058,zh,Excellent build quality!
P1081,en,This product gets very hot when charging.
P1054,en,This product gets very hot when charging.
P1084,en,Excellent build quality!
P1075,en,Seems like a knock-off product.
P1060,zh,Seems like a knock-off product.
P1083,es,This product gets very hot when charging.
P1010,fr,Excellent build quality!
P1026,fr,Seems like a knock-off product.
P1084,en,Excellent build quality!
P1093,es,Seems like a knock-off product.
P1001,en,Excellent build quality!
P1085,fr,Battery swells after 6 months.
P1069,en,Excellent build quality!
P1023,es,Too noisy and unreliable.
P1007,fr,This product gets very hot when charging.
P1074,en,Seems like a knock-off product.
P1071,fr,This product gets very hot when charging.
P1008,fr,Excellent build quality!
P1043,fr,Too noisy and unreliable.
P1087,fr,This product gets very hot when charging.
P1002,en,Too noisy and unreliable.
P1004,zh,Battery swells after 6 months.
P1051,zh,Excellent build quality!
P1063,es,This product gets very hot when charging.
P1085,zh,Excellent build quality!
P1067,fr,This product gets very hot when charging.
P1018,fr,Battery swells after 6 months.
P1021,en,Seems like a knock-off product.
P1079,zh,Excellent build quality!
P1086,zh,Seems like a knock-off product.
P1010,fr,Seems like a knock-off product.
P1053,es,Seems like a knock-off product.
P1036,en,Battery swells after 6 months.
P1099,es,Seems like a knock-off product.
P1074,es,Too noisy and unreliable.
P1069,fr,Too noisy and unreliable.
P1075,es,Battery swells after 6 months.
P1098,es,Battery swells after 6 months.
P1070,fr,Seems like a knock-off product.
P1079,es,Too noisy and unreliable.
P1040,es,Seems like a knock-off product.
P1020,zh,Seems like a knock-off product.
P1061,en,Excellent build quality!
P1029,es,Excellent build quality!
P1093,es,This product gets very hot when charging.
P1059,en,This product gets very hot when charging.
P1011,en,Seems like a knock-off product.
P1038,fr,Excellent build quality!
P1080,en,Excellent build quality!
P1059,zh,Excellent build quality!
P1097,es,Seems like a knock-off product.
P1025,en,Excellent build quality!
P1072,en,This product gets very hot when charging.
P1024,es,Seems like a knock-off product.
P1084,en,Seems like a knock-off product.
P1076,zh,Too noisy and unreliable.
P1051,fr,This product gets very hot when charging.
P1014,zh,Excellent build quality!
P1031,es,Battery swells after 6 months.
P1037,zh,This product gets very hot when charging.
P1080,es,Excellent build quality!
P1062,en,Excellent build quality!
P1050,es,Excellent build quality!
P1065,es,This product gets very hot when charging.
P1001,fr,Seems like a knock-off product.
P1061,zh,Seems like a knock-off product.
P1041,fr,Seems like a knock-off product.
P1023,en,Seems like a knock-off product.
P1045,fr,Battery swells after 6 months.
P1024,fr,Excellent build quality!
P1050,en,This product gets very hot when charging.
P1060,es,This product gets very hot when charging.
P1099,zh,Excellent build quality!
P1026,zh,Too noisy and unreliable.
P1024,fr,Too noisy and unreliable.
P1086,zh,Battery swells after 6 months.
P1084,en,Too noisy and unreliable.
P1020,zh,Battery swells after 6 months.
P1068,fr,Battery swells after 6 months.
P1025,fr,Excellent build quality!
P1048,fr,This product gets very hot when charging.
P1000,fr,Too noisy and unreliable.
P1072,en,Battery swells after 6 months.
P1038,zh,Seems like a knock-off product.
P1079,fr,Too noisy and unreliable.
P1037,fr,This product gets very hot when charging.
P1032,es,Too noisy and unreliable.
P1007,en,Too noisy and unreliable.
P1010,es,Too noisy and unreliable.
P1060,fr,Excellent build quality!
P1016,zh,This product gets very hot when charging.
P1073,fr,Seems like a knock-off product.
P1080,en,Seems like a knock-off product.
P1033,fr,Too noisy and unreliable.
P1040,es,Excellent build quality!
P1002,en,This product gets very hot when charging.
P1045,fr,This product gets very hot when charging.
P1077,fr,Too noisy and unreliable.
P1035,en,Too noisy and unreliable.
P1074,zh,Excellent build quality!
P1077,es,Seems like a knock-off product.
P1029,zh,Too noisy and unreliable.
P1079,zh,Seems like a knock-off product.
P1014,fr,This product gets very hot when charging.
P1059,en,Seems like a knock-off product.
P1099,zh,Battery swells after 6 months.
P1060,fr,Excellent build quality!
P1062,zh,Excellent build quality!
P1017,fr,Seems like a knock-off product.
P1028,en,This product gets very hot when charging.
P1072,es,Too noisy and unreliable.
P1038,en,Battery swells after 6 months.
P1034,zh,Battery swells after 6 months.
P1008,zh,Seems like a knock-off product.
P1072,zh,Excellent build quality!
P1044,zh,Battery swells after 6 months.
P1082,en,Too noisy and unreliable.
P1064,es,This product gets very hot when charging.
P1028,es,Battery swells after 6 months.
P1040,zh,Excellent build quality!
P1012,fr,Too noisy and unreliable.
P1098,fr,Too noisy and unreliable.
P1069,es,Battery swells after 6 months.
P1066,en,This product gets very hot when charging.
P1090,zh,Excellent build quality!
P1077,en,Too noisy and unreliable.
P1063,en,Too noisy and unreliable.
P1017,en,Seems like a knock-off product.
P1010,en,Battery swells after 6 months.
P1032,fr,Seems like a knock-off product.
P1052,zh,This product gets very hot when charging.
P1084,fr,This product gets very hot when charging.
P1096,zh,Battery swells after 6 months.
P1086,zh,This product gets very hot when charging.
P1094,en,Battery swells after 6 months.
P1086,en,Seems like a knock-off product.
P1082,es,This product gets very hot when charging.
P1026,fr,Too noisy and unreliable.
P1077,fr,Too noisy and unreliable.
P1098,es,Battery swells after 6 months.
